names	abundances	samples	treatments
M00967_43_000000000-A3JHG_1_1109_13330_21597	3	F3D150	Late
M00967_43_000000000-A3JHG_1_1109_13330_21597	34	F3D2	Early
M00967_43_000000000-A3JHG_1_1109_13330_21597	1	F3D3	Early
M00967_43_000000000-A3JHG_1_1109_13330_21597	2	F3D5	Early
M00967_43_000000000-A3JHG_1_1109_13330_21597	2	F3D6	Early
M00967_43_000000000-A3JHG_1_1109_13330_21597	1	F3D8	Early
M00967_43_000000000-A3JHG_1_1109_13330_21597	1	F3D9	Early
M00967_43_000000000-A3JHG_1_1110_5315_13833	5	F3D0	Early
M00967_43_000000000-A3JHG_1_1110_5315_13833	14	F3D1	Early
M00967_43_000000000-A3JHG_1_1110_5315_13833	8	F3D141	Late
M00967_43_000000000-A3JHG_1_1110_5315_13833	7	F3D143	Late
M00967_43_000000000-A3JHG_1_1110_5315_13833	2	F3D145	Late
M00967_43_000000000-A3JHG_1_1110_5315_13833	6	F3D146	Late
M00967_43_000000000-A3JHG_1_1110_5315_13833	30	F3D147	Late
M00967_43_000000000-A3JHG_1_1110_5315_13833	4	F3D148	Late
M00967_43_000000000-A3JHG_1_1110_5315_13833	15	F3D149	Late
M00967_43_000000000-A3JHG_1_1110_5315_13833	12	F3D150	Late
M00967_43_000000000-A3JHG_1_1110_5315_13833	10	F3D2	Early
M00967_43_000000000-A3JHG_1_1110_5315_13833	3	F3D3	Early
M00967_43_000000000-A3JHG_1_1110_5315_13833	7	F3D5	Early
M00967_43_000000000-A3JHG_1_1110_5315_13833	8	F3D6	Early
M00967_43_000000000-A3JHG_1_1110_5315_13833	4	F3D7	Early
M00967_43_000000000-A3JHG_1_1110_5315_13833	11	F3D8	Early
M00967_43_000000000-A3JHG_1_1110_5315_13833	10	F3D9	Early
M00967_43_000000000-A3JHG_1_2104_8006_7424	1	F3D1	Early
M00967_43_000000000-A3JHG_1_1109_21900_16751	1	F3D147	Late
M00967_43_000000000-A3JHG_1_1112_5981_8948	1	F3D5	Early
M00967_43_000000000-A3JHG_1_1113_12514_11568	1	F3D9	Early
M00967_43_000000000-A3JHG_1_2111_22417_22191	1	F3D3	Early
M00967_43_000000000-A3JHG_1_2109_27297_13184	1	F3D142	Late
M00967_43_000000000-A3JHG_1_1111_29007_18395	1	F3D147	Late
M00967_43_000000000-A3JHG_1_2104_26311_10309	2	F3D0	Early
